"tweet"
"@ProvosteYasna Otra vez hablando cabezas de pescado que no vienen al caso. Preocupate de tus asuntos , de lo que estas ofreciendo al pais ! Dejate de cahuinear como loca de patio ,  ponte seria alguna vez."
"..el ""laucha de supermercado"" buscando cualquier recoveco para arrancar del león.. #BoricCandidatoDelPC #BoricTieneMiedo #BoricNoseAtreveConKast ..hasta cuándo arrancas @gabrielboric  ..? 🐁/🦁 #Enagro2021 😜"
"Tremendo lienzo! Muchas gracias a todas las comunidades del exterior que están con nosotr@s ✊"
"@RalGuzm17108483 @EValenz11 @joseantoniokast Las FFAA chilenas no son como las venezolanas, espero que está institución que siempre ha velado por la defensa de Chile se mantenga incorrupta ... Cómo siempre lo ha hecho .... Defendido nuestra soberanía y estado de derecho"
"@T_Real_Patriots @joseantoniokast #AtreveteConKast #AtreviDos"
"@Pklesse @ivanmoreirab @sebastiansichel Mi madre de 76 años un voto menos para moreira en #osorno una amiga igual.. así chile sale de las garras de la derecha"
"@gabrielboric tiene que lograr que estos dos mundos opuestos el de los presos de la revuelta y el de los que fueron afectados por los saqueos logren confiar en ti pero ojo los que no fueron a votar son los que salieron a marchar no se te olvide #FraudeElectoral2021"
"@gabrielboric Nido de pájaros ignorantes."
"@joseantoniokast The Guardian te manda saludos!!!   https://t.co/vOVNdSPUyG"
"@carreragonzalo @joseantoniokast  https://t.co/0yBL9ybMVF"
"@ProvosteYasna @sebastiansichel Qué te importa!! Todos los Chilenos son libres de retirar sus fondos de pensiones de SUS CUENTAS INDIVIDUALES. Las que aún no son expropiadas por ti, por lo que nadie debe darte explicaciones de lo que hagan. #IzquierdaMiserable mejor responde tú por los 600 millones."
"@Viviluc2 @gabrielboric Maravilloso Boric, sólido, certero , cómodo !!!! 🥰😍😍😍😍"
"@k1ngb0a @Danipotterhead9 @gabrielboric Por lo menos somos GENTE DECENTE y de  https://t.co/1YopxjNsBb andamos vandalizando QUEMANDO PERSONAS honestas saqueando asesinando impunemente Destruyendo todo y DEJANDO Miles de personas DECENTES y trabajadoras sin sus fuentes de TRABAJO con el #EstallidoDelictual  #Terrorismo"
"🖖 @izkia en @radioazucar_fm “@gabrielboric  entiende que hoy tenemos que volver a unirnos y no dividirnos, como propone el otro candidato” #BoricPresidente #BoricPresidentedeChile2022 #GabrielBoricPresidente2022  https://t.co/nFDy0IO9jc"
"@Rodrigo_fire_s @PatriciaVeselka @Chivysvik @joseantoniokast Tú lo has dicho, países desarrollados, democracia madura… Nuestro país, está a años luz de eso!"
"@pam_mmc @joseantoniokast @EquipoKast 👏👏👏"
"@tjholt venga hombre.   Lo más afín a su exigencia es @joseantoniokast  https://t.co/SaGXIy9OmV"
"No está rodeado de pacos, ni milicos. ¿Qué diferencia no? #BoricPresidente"
"#Elecciones2021CL El norte de Chile vale 🍄. Votan por la derecha, vendidos al sistema para seguir saqueando el cobre.  https://t.co/fcU6DYhRM6"
"@camila_vallejo @aldosaez @gabrielboric Bien Camila!! Lamentable pero razonable cambiar el programa de transformaciones a un programa q cuide la CC, abordar las problemáticas de hoy, entender q el gob de AD será transitorio x q no se cuenta con mayoría en el congreso, bien Cami!!!"
"@MisiaFernanda Nos farreamos a @joseantoniokast que quería  terminar con ONU y todas estas lacras y garrapatas a la yugular!!!"
"@marcoporchile No creo que se de esa alternativa, yo solo voto #MarcoPresidente"
"¡Partimos!  #Rancagua #BoricPresidente2022  https://t.co/taxEXDpM7L"
"@joseantoniokast @maca_santelices #DebateArchi, #AtreveteConKast, el único capaz"
"@losrios1994 Boric  es el mentiroso #SichelPresidente"
"@gabrielboric Solo hay que recordar de que huyen los venezolanos."
"@gabrielboric  https://t.co/B1BVnd1NWA"
